pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
65,4019,pepperoni_l,1,08-01-2024,12:00:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
66,4019,margherita_l,2,08-01-2024,12:00:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
67,4019,pepperoni_m,2,08-01-2024,12:00:00,12,24,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
68,4020,veggie_m,2,04-01-2024,12:36:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
69,4020,veggie_m,3,04-01-2024,12:36:00,12,36,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
70,4021,veggie_l,2,02-01-2024,12:40:00,15,30,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
71,4022,pepperoni_l,2,07-01-2024,15:14:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
72,4023,bbq_ckn_m,1,06-01-2024,18:12:00,14,14,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
73,4023,hawaiian_m,3,06-01-2024,18:12:00,12,36,M,Classic,Ham|Pineapple,Hawaiian Pizza
74,4024,margherita_s,1,21-01-2024,11:51:00,9,9,S,Classic,Tomato|Cheese,Margherita Pizza
75,4025,veggie_m,1,14-01-2024,13:50:00,12,12,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
76,4025,veggie_s,1,14-01-2024,13:50:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
77,4026,bbq_ckn_m,2,13-01-2024,11:02:00,14,28,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
78,4026,veggie_l,3,13-01-2024,11:02:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
79,4026,margherita_l,3,13-01-2024,11:02:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
80,4026,veggie_s,1,13-01-2024,11:02:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
81,4027,hawaiian_l,3,31-01-2024,14:42:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
82,4027,margherita_s,3,31-01-2024,14:42:00,9,27,S,Classic,Tomato|Cheese,Margherita Pizza
83,4027,bbq_ckn_s,1,31-01-2024,14:42:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
84,4028,margherita_s,1,17-01-2024,19:08:00,9,9,S,Classic,Tomato|Cheese,Margherita Pizza
85,4028,margherita_s,1,17-01-2024,19:08:00,9,9,S,Classic,Tomato|Cheese,Margherita Pizza
86,4028,hawaiian_l,1,17-01-2024,19:08:00,15,15,L,Classic,Ham|Pineapple,Hawaiian Pizza
87,4028,pepperoni_m,1,17-01-2024,19:08:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
88,4028,margherita_s,3,17-01-2024,19:08:00,9,27,S,Classic,Tomato|Cheese,Margherita Pizza
89,4029,hawaiian_m,3,20-01-2024,11:40:00,12,36,M,Classic,Ham|Pineapple,Hawaiian Pizza
90,4029,margherita_l,3,20-01-2024,11:40:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
91,4029,bbq_ckn_m,1,20-01-2024,11:40:00,14,14,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
92,4029,bbq_ckn_s,2,20-01-2024,11:40:00,11,22,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
93,4029,veggie_s,3,20-01-2024,11:40:00,9,27,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
94,4030,bbq_ckn_s,1,15-01-2024,16:07:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
95,4030,veggie_l,3,15-01-2024,16:07:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
96,4030,hawaiian_s,3,15-01-2024,16:07:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
97,4030,pepperoni_l,2,15-01-2024,16:07:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
98,4030,pepperoni_m,1,15-01-2024,16:07:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
99,4030,pepperoni_m,2,15-01-2024,16:07:00,12,24,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
100,4031,margherita_l,2,27-01-2024,18:28:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
101,4031,margherita_l,3,27-01-2024,18:28:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
102,4032,hawaiian_s,2,10-01-2024,20:27:00,9,18,S,Classic,Ham|Pineapple,Hawaiian Pizza
103,4033,margherita_s,2,24-01-2024,12:49:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
104,4034,bbq_ckn_s,3,23-01-2024,14:35:00,11,33,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
105,4034,bbq_ckn_l,2,23-01-2024,14:35:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
106,4034,bbq_ckn_s,1,23-01-2024,14:35:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
107,4035,bbq_ckn_s,1,27-01-2024,18:13:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
108,4035,bbq_ckn_s,3,27-01-2024,18:13:00,11,33,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
109,4035,bbq_ckn_s,3,27-01-2024,18:13:00,11,33,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
110,4035,veggie_l,3,27-01-2024,18:13:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
111,4035,veggie_l,1,27-01-2024,18:13:00,15,15,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
112,4035,hawaiian_s,3,27-01-2024,18:13:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
113,4036,bbq_ckn_l,3,02-01-2024,20:18:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
114,4036,pepperoni_m,1,02-01-2024,20:18:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
115,4037,hawaiian_m,1,12-01-2024,16:15:00,12,12,M,Classic,Ham|Pineapple,Hawaiian Pizza
116,4038,hawaiian_m,3,22-01-2024,15:15:00,12,36,M,Classic,Ham|Pineapple,Hawaiian Pizza
117,4038,veggie_l,3,22-01-2024,15:15:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
118,4038,pepperoni_s,1,22-01-2024,15:15:00,9,9,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
119,4038,pepperoni_m,1,22-01-2024,15:15:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
120,4038,pepperoni_l,2,22-01-2024,15:15:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
121,4038,veggie_l,3,22-01-2024,15:15:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
122,4039,hawaiian_m,1,06-01-2024,15:33:00,12,12,M,Classic,Ham|Pineapple,Hawaiian Pizza
123,4039,veggie_s,1,06-01-2024,15:33:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
124,4040,pepperoni_s,1,10-01-2024,16:58:00,9,9,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
125,4040,pepperoni_m,2,10-01-2024,16:58:00,12,24,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
126,4040,bbq_ckn_s,2,10-01-2024,16:58:00,11,22,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
127,4040,bbq_ckn_l,3,10-01-2024,16:58:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
128,4041,hawaiian_s,2,11-01-2024,20:09:00,9,18,S,Classic,Ham|Pineapple,Hawaiian Pizza
129,4041,pepperoni_l,2,11-01-2024,20:09:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
130,4041,hawaiian_s,3,11-01-2024,20:09:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
131,4041,veggie_m,3,11-01-2024,20:09:00,12,36,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
132,4042,margherita_s,2,20-01-2024,18:26:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
133,4042,margherita_s,2,20-01-2024,18:26:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
134,4042,hawaiian_l,2,20-01-2024,18:26:00,15,30,L,Classic,Ham|Pineapple,Hawaiian Pizza
135,4043,margherita_l,3,30-01-2024,19:52:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
136,4044,veggie_s,3,12-01-2024,14:21:00,9,27,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
137,4044,bbq_ckn_l,2,12-01-2024,14:21:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
138,4044,hawaiian_l,2,12-01-2024,14:21:00,15,30,L,Classic,Ham|Pineapple,Hawaiian Pizza
139,4044,margherita_m,3,12-01-2024,14:21:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
140,4044,veggie_m,2,12-01-2024,14:21:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
141,4044,bbq_ckn_l,1,12-01-2024,14:21:00,17,17,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
142,4045,veggie_l,3,22-01-2024,18:10:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
143,4045,pepperoni_l,3,22-01-2024,18:10:00,15,45,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
144,4046,hawaiian_m,2,18-01-2024,17:55:00,12,24,M,Classic,Ham|Pineapple,Hawaiian Pizza
145,4046,pepperoni_m,3,18-01-2024,17:55:00,12,36,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
146,4046,margherita_l,2,18-01-2024,17:55:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
147,4047,pepperoni_l,2,15-01-2024,18:32:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
148,4047,pepperoni_l,1,15-01-2024,18:32:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
149,4047,bbq_ckn_l,3,15-01-2024,18:32:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
150,4047,margherita_m,1,15-01-2024,18:32:00,12,12,M,Classic,Tomato|Cheese,Margherita Pizza
151,4048,pepperoni_s,1,08-01-2024,16:17:00,9,9,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
152,4048,hawaiian_s,2,08-01-2024,16:17:00,9,18,S,Classic,Ham|Pineapple,Hawaiian Pizza
153,4049,veggie_l,3,15-01-2024,12:14:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
154,4049,pepperoni_l,3,15-01-2024,12:14:00,15,45,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
155,4049,veggie_m,2,15-01-2024,12:14:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
156,4049,pepperoni_s,3,15-01-2024,12:14:00,9,27,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
157,4049,hawaiian_s,2,15-01-2024,12:14:00,9,18,S,Classic,Ham|Pineapple,Hawaiian Pizza
158,4050,margherita_m,1,26-01-2024,14:00:00,12,12,M,Classic,Tomato|Cheese,Margherita Pizza
159,4050,margherita_s,1,26-01-2024,14:00:00,9,9,S,Classic,Tomato|Cheese,Margherita Pizza
160,4051,veggie_l,3,26-01-2024,13:16:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
161,4051,margherita_l,2,26-01-2024,13:16:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
162,4051,veggie_l,3,26-01-2024,13:16:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
163,4051,margherita_m,3,26-01-2024,13:16:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
164,4052,veggie_m,2,24-01-2024,13:42:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
165,4052,pepperoni_l,2,24-01-2024,13:42:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
166,4052,margherita_m,3,24-01-2024,13:42:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
167,4052,pepperoni_m,2,24-01-2024,13:42:00,12,24,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
168,4053,bbq_ckn_m,2,08-01-2024,15:52:00,14,28,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
169,4054,pepperoni_s,2,05-01-2024,12:22:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
170,4054,pepperoni_l,1,05-01-2024,12:22:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
171,4054,hawaiian_m,2,05-01-2024,12:22:00,12,24,M,Classic,Ham|Pineapple,Hawaiian Pizza
172,4054,bbq_ckn_l,2,05-01-2024,12:22:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
173,4054,veggie_s,1,05-01-2024,12:22:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
174,4055,margherita_l,1,29-01-2024,17:38:00,15,15,L,Classic,Tomato|Cheese,Margherita Pizza
175,4055,margherita_m,2,29-01-2024,17:38:00,12,24,M,Classic,Tomato|Cheese,Margherita Pizza
176,4055,hawaiian_m,2,29-01-2024,17:38:00,12,24,M,Classic,Ham|Pineapple,Hawaiian Pizza
177,4055,veggie_m,3,29-01-2024,17:38:00,12,36,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
178,4056,margherita_s,2,26-01-2024,20:19:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
179,4056,pepperoni_m,2,26-01-2024,20:19:00,12,24,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
180,4056,veggie_s,2,26-01-2024,20:19:00,9,18,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
181,4056,bbq_ckn_l,3,26-01-2024,20:19:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
182,4056,veggie_l,1,26-01-2024,20:19:00,15,15,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
183,4056,veggie_s,3,26-01-2024,20:19:00,9,27,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
184,4057,veggie_l,3,30-01-2024,11:27:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
185,4057,hawaiian_s,3,30-01-2024,11:27:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
186,4057,veggie_s,2,30-01-2024,11:27:00,9,18,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
187,4057,pepperoni_s,2,30-01-2024,11:27:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
188,4057,veggie_m,1,30-01-2024,11:27:00,12,12,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
189,4058,veggie_m,2,11-01-2024,16:34:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
190,4058,bbq_ckn_s,2,11-01-2024,16:34:00,11,22,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
191,4058,hawaiian_l,3,11-01-2024,16:34:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
192,4058,hawaiian_m,1,11-01-2024,16:34:00,12,12,M,Classic,Ham|Pineapple,Hawaiian Pizza
193,4059,hawaiian_s,1,25-01-2024,12:10:00,9,9,S,Classic,Ham|Pineapple,Hawaiian Pizza
194,4059,pepperoni_s,3,25-01-2024,12:10:00,9,27,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
195,4059,pepperoni_s,1,25-01-2024,12:10:00,9,9,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
196,4059,veggie_l,1,25-01-2024,12:10:00,15,15,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
197,4059,margherita_s,2,25-01-2024,12:10:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
198,4059,bbq_ckn_m,1,25-01-2024,12:10:00,14,14,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
199,4060,pepperoni_m,1,25-01-2024,12:57:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
200,4060,margherita_s,2,25-01-2024,12:57:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
201,4060,margherita_l,2,25-01-2024,12:57:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
202,4060,veggie_l,1,25-01-2024,12:57:00,15,15,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
203,4060,hawaiian_l,3,25-01-2024,12:57:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
204,4061,bbq_ckn_l,3,04-01-2024,15:08:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
205,4061,hawaiian_l,1,04-01-2024,15:08:00,15,15,L,Classic,Ham|Pineapple,Hawaiian Pizza
206,4061,bbq_ckn_l,2,04-01-2024,15:08:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
207,4061,bbq_ckn_s,3,04-01-2024,15:08:00,11,33,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
208,4061,bbq_ckn_s,2,04-01-2024,15:08:00,11,22,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
209,4061,veggie_s,2,04-01-2024,15:08:00,9,18,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
210,4062,pepperoni_m,1,23-01-2024,18:50:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
211,4062,margherita_l,2,23-01-2024,18:50:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
212,4062,margherita_l,2,23-01-2024,18:50:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
213,4063,margherita_m,2,27-01-2024,18:26:00,12,24,M,Classic,Tomato|Cheese,Margherita Pizza
214,4063,pepperoni_s,2,27-01-2024,18:26:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
215,4063,veggie_s,2,27-01-2024,18:26:00,9,18,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
216,4063,margherita_l,3,27-01-2024,18:26:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
217,4064,veggie_m,1,01-01-2024,16:44:00,12,12,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
218,4064,veggie_s,2,01-01-2024,16:44:00,9,18,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
219,4064,bbq_ckn_m,2,01-01-2024,16:44:00,14,28,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
220,4064,margherita_l,2,01-01-2024,16:44:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
221,4065,pepperoni_s,1,17-01-2024,11:10:00,9,9,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
222,4065,veggie_m,3,17-01-2024,11:10:00,12,36,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
223,4065,pepperoni_l,2,17-01-2024,11:10:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
224,4065,veggie_m,1,17-01-2024,11:10:00,12,12,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
225,4065,hawaiian_m,1,17-01-2024,11:10:00,12,12,M,Classic,Ham|Pineapple,Hawaiian Pizza
226,4066,margherita_m,2,10-01-2024,15:09:00,12,24,M,Classic,Tomato|Cheese,Margherita Pizza
227,4066,margherita_l,2,10-01-2024,15:09:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
